Sno,Question,SQL Query,NL Template
105,What is the average time from indent_accepted_at to indent_assigned_at in the last 30 days?,"SELECT AVG((julianday(indent_assigned_at) - julianday(indent_accepted_at)) * 24.0) AS avg_hours FROM trips_full WHERE indent_assigned_at IS NOT NULL AND indent_accepted_at IS NOT NULL AND DATE(indent_created_at) >= DATE('now','-30 day');","On average, it took {avg_hours} hours from acceptance to assignment in the last 30 days."
106,What is the average time from indent_assigned_at to indent_reported_at in the last 30 days?,"SELECT AVG((julianday(indent_reported_at) - julianday(indent_assigned_at)) * 24.0) AS avg_hours FROM trips_full WHERE indent_reported_at IS NOT NULL AND indent_assigned_at IS NOT NULL AND DATE(indent_created_at) >= DATE('now','-30 day');","On average, it took {avg_hours} hours from assignment to vehicle reporting in the last 30 days."
107,What is the average time from indent_created_at to trip_created_at in the last 30 days?,"SELECT AVG((julianday(trip_created_at) - julianday(indent_created_at)) * 24.0) AS avg_hours FROM trips_full WHERE trip_created_at IS NOT NULL AND DATE(indent_created_at) >= DATE('now','-30 day');","On average, it took {avg_hours} hours from indent creation to trip creation in the last 30 days."
108,Which transporters have the fastest average time from indent_created_at to trip_created_at in the last 30 days?,"SELECT indent_transporter_name, AVG((julianday(trip_created_at) - julianday(indent_created_at)) * 24.0) AS avg_hours FROM trips_full WHERE trip_created_at IS NOT NULL AND DATE(indent_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_hours ASC;",These transporters have the fastest conversion from indent creation to trip creation in the last 30 days.
109,How many trips have Mode Of Closure = 'API' in the last 30 days?,"SELECT COUNT(*) AS api_closed FROM trips_full WHERE ""Mode Of Closure"" = 'API' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {api_closed} trips closed via API in the last 30 days.
110,How many trips have non-API Mode Of Closure in the last 30 days?,"SELECT COUNT(*) AS non_api_closed FROM trips_full WHERE ""Mode Of Closure"" <> 'API' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {non_api_closed} trips closed via non-API methods in the last 30 days.
111,What is the distribution of Mode Of Closure in the last 30 days?,"SELECT ""Mode Of Closure"", COUNT(*) AS cnt FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY ""Mode Of Closure"";",This is the distribution of trip closure modes in the last 30 days.
112,How many trips have Consent Status = 'Not Done' in the last 30 days?,"SELECT COUNT(*) AS not_done FROM trips_full WHERE ""Consent Status"" = 'Not Done' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {not_done} trips where consent was marked as Not Done in the last 30 days.
113,Show all trips with Consent Status = 'Not Done' in the last 30 days.,"SELECT * FROM trips_full WHERE ""Consent Status"" = 'Not Done' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have consent status marked as Not Done in the last 30 days.
114,How many trips have Distance Left To Destination > 0 but are closed in the last 30 days?,"SELECT COUNT(*) AS inconsistent FROM trips_full WHERE ""Distance Left To Destination"" > 0 AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",There are {inconsistent} trips showing non-zero remaining distance even though they are closed.
115,Show trips where Distance Left To Destination > 0 and trip_closed_at is not null.,"SELECT * FROM trips_full WHERE ""Distance Left To Destination"" > 0 AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips may have inconsistent distance left values despite being closed.
116,How many trips have long child trips (longest_child_trip > 1) in the last 30 days?,"SELECT COUNT(*) AS multi_leg_trips FROM trips_full WHERE longest_child_trip > 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {multi_leg_trips} multi-leg trips (with longest_child_trip > 1) in the last 30 days.
117,Show multi-leg trips with longest_child_trip > 1 in the last 30 days.,"SELECT * FROM trips_full WHERE longest_child_trip > 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",These are multi-leg trips as indicated by longest_child_trip > 1 in the last 30 days.
118,How many trips have null or missing INVOICE_NO in the last 30 days?,"SELECT COUNT(*) AS missing_invoice FROM trips_full WHERE (INVOICE_NO IS NULL OR INVOICE_NO = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_invoice} trips without an INVOICE_NO in the last 30 days.
119,Show trips with non-null INVOICE_NO in the last 30 days.,"SELECT * FROM trips_full WHERE INVOICE_NO IS NOT NULL AND INVOICE_NO <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have an invoice number associated with them in the last 30 days.
120,How many trips have a URL present in the last 30 days?,"SELECT COUNT(*) AS url_present FROM trips_full WHERE url IS NOT NULL AND url <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {url_present} trips with a URL populated in the last 30 days.
121,Show trips that have non-null URL in the last 30 days.,"SELECT * FROM trips_full WHERE url IS NOT NULL AND url <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');","These trips have an associated URL, potentially linking to supporting documents."
122,Which transporters have the best STA compliance in the last 30 days?,"SELECT indent_transporter_name, SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) AS on_time, COUNT(*) AS total, (SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS on_time_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY on_time_pct DESC;",These transporters have the best STA compliance (highest on-time percentage) in the last 30 days.
123,Which transporters have the worst STA compliance in the last 30 days?,"SELECT indent_transporter_name, SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) AS on_time, COUNT(*) AS total, (SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS on_time_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name HAVING total >= 5 ORDER BY on_time_pct ASC;",These transporters have the lowest STA compliance (on-time %) among those with at least 5 trips in the last 30 days.
124,Which routes have the best STA performance in the last 30 days?,"SELECT route_name, SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) AS on_time, COUNT(*) AS total, (SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS on_time_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name ORDER BY on_time_pct DESC;",These routes have the best STA performance in the last 30 days.
125,Which routes have the worst STA performance in the last 30 days?,"SELECT route_name, SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) AS on_time, COUNT(*) AS total, (SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS on_time_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name HAVING total >= 5 ORDER BY on_time_pct ASC;",These routes have the lowest STA compliance in the last 30 days among those with at least 5 trips.
126,Compare tracked vs untracked STA compliance in the last 30 days.,"SELECT ""Tracking Status"", SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) AS on_time, COUNT(*) AS total, (SUM(CASE WHEN sta_breached_alert = 0 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS on_time_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY ""Tracking Status"";",Here is the comparison of STA compliance for tracked vs untracked trips over the last 30 days.
127,How many trips have TRACKING Status = 'Tracked' and STA breached in the last 30 days?,"SELECT COUNT(*) AS tracked_breached FROM trips_full WHERE ""Tracking Status"" = 'Tracked' AND sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {tracked_breached} tracked trips that still breached STA in the last 30 days.
128,How many trips have no tracking (non-Tracked) and STA breached in the last 30 days?,"SELECT COUNT(*) AS untracked_breached FROM trips_full WHERE ""Tracking Status"" <> 'Tracked' AND sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {untracked_breached} untracked or partially tracked trips that breached STA in the last 30 days.
129,How many trips have Distance Travelled less than transit_distance in the last 30 days?,"SELECT COUNT(*) AS distance_mismatch FROM trips_full WHERE ""Distance Travelled"" < transit_distance AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {distance_mismatch} trips where GPS distance was less than static transit_distance in the last 30 days.
130,Show trips where Distance Travelled is significantly less than transit_distance (less than 80%) in the last 30 days.,"SELECT * FROM trips_full WHERE ""Distance Travelled"" < 0.8 * transit_distance AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips show GPS distance less than 80% of transit_distance and may require review.
131,How many trips have Distance Travelled greater than transit_distance in the last 30 days?,"SELECT COUNT(*) AS distance_over FROM trips_full WHERE ""Distance Travelled"" > transit_distance AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {distance_over} trips where GPS distance exceeded transit_distance in the last 30 days.
132,Show trips where Distance Travelled is more than 120% of transit_distance in the last 30 days.,"SELECT * FROM trips_full WHERE ""Distance Travelled"" > 1.2 * transit_distance AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips show unusually high GPS distance compared to transit_distance.
133,What is the average long stoppage count per trip in the last 30 days?,"SELECT AVG(""Total Long Stoppage Alerts"") AS avg_stoppages FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');","On average, trips had {avg_stoppages} long stoppage alerts in the last 30 days."
134,What is the average route deviation alert count per trip in the last 30 days?,"SELECT AVG(""Total Route Deviation Alerts"") AS avg_deviations FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');","On average, trips had {avg_deviations} route deviation alerts in the last 30 days."
135,Which transporter has the highest average long stoppage alerts per trip in the last 30 days?,"SELECT indent_transporter_name, AVG(""Total Long Stoppage Alerts"") AS avg_stoppages FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_stoppages DESC;",These transporters see the highest average long stoppage alerts per trip in the last 30 days.
136,Which transporter has the highest average route deviation alerts per trip in the last 30 days?,"SELECT indent_transporter_name, AVG(""Total Route Deviation Alerts"") AS avg_deviations FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_deviations DESC;",These transporters see the highest average route deviation alerts per trip in the last 30 days.
137,How many trips have both long stoppages and route deviation alerts in the last 30 days?,"SELECT COUNT(*) AS both_alerts FROM trips_full WHERE ""Total Long Stoppage Alerts"" > 0 AND ""Total Route Deviation Alerts"" > 0 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {both_alerts} trips with both long stoppages and route deviation alerts in the last 30 days.
138,Show trips with both long stoppages >0 and route deviations >0 in the last 30 days.,"SELECT * FROM trips_full WHERE ""Total Long Stoppage Alerts"" > 0 AND ""Total Route Deviation Alerts"" > 0 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips had both long stoppages and route deviations in the last 30 days.
139,Which consignor branches have the highest STA breach percentage in the last 30 days?,"SELECT consignor_branch_name, SUM(CASE WHEN sta_breached_alert = 1 THEN 1 ELSE 0 END) AS breached, COUNT(*) AS total, (SUM(CASE WHEN sta_breached_alert = 1 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS breach_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY consignor_branch_name HAVING total >= 5 ORDER BY breach_pct DESC;",These consignor branches have the highest STA breach percentage in the last 30 days (min 5 trips).
140,Which consignor companies have the highest STA breach percentage in the last 30 days?,"SELECT consignor_company_name, SUM(CASE WHEN sta_breached_alert = 1 THEN 1 ELSE 0 END) AS breached, COUNT(*) AS total, (SUM(CASE WHEN sta_breached_alert = 1 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS breach_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY consignor_company_name HAVING total >= 5 ORDER BY breach_pct DESC;",These consignor companies have the highest STA breach percentage in the last 30 days (min 5 trips).
141,What is the distribution of indent_status over the last 30 days?,"SELECT indent_status, COUNT(*) AS cnt FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day') GROUP BY indent_status;",This is the distribution of indent statuses over the last 30 days.
142,What is the distribution of final_indent_republish_status over the last 30 days?,"SELECT final_indent_republish_status, COUNT(*) AS cnt FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day') GROUP BY final_indent_republish_status;",This is the distribution of final indent republish statuses in the last 30 days.
143,How many unique publishing_rule_transporter_label values were used in the last 30 days?,"SELECT COUNT(DISTINCT publishing_rule_transporter_label) AS unique_labels FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day');",There were {unique_labels} unique publishing rule transporter labels used in the last 30 days.
144,Which publishing_rule_transporter_label was used most in the last 30 days?,"SELECT publishing_rule_transporter_label, COUNT(*) AS cnt FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day') GROUP BY publishing_rule_transporter_label ORDER BY cnt DESC LIMIT 1;",The most frequently used publishing rule transporter label in the last 30 days is {publishing_rule_transporter_label} with {cnt} occurrences.
145,How many trips have row_max > 1 in the last 30 days?,"SELECT COUNT(*) AS multi_row FROM trips_full WHERE row_max > 1 AND DATE(trip_created_at) >= DATE('now','-30 day');","There were {multi_row} records with row_max > 1 in the last 30 days, indicating multiple rows per logical entity."
146,Show sample records with row_max > 1 in the last 30 days.,"SELECT * FROM trips_full WHERE row_max > 1 AND DATE(trip_created_at) >= DATE('now','-30 day') LIMIT 50;",These sample records have row_max > 1 and may represent multiple rows per entity.
147,How many trips have row_max_transporter > 1 in the last 30 days?,"SELECT COUNT(*) AS multi_transporter FROM trips_full WHERE row_max_transporter > 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {multi_transporter} records with row_max_transporter > 1 in the last 30 days.
148,Show sample records with row_max_transporter > 1 in the last 30 days.,"SELECT * FROM trips_full WHERE row_max_transporter > 1 AND DATE(trip_created_at) >= DATE('now','-30 day') LIMIT 50;",These records have row_max_transporter > 1 and may indicate multiple transporter-related entries per indent.
149,How many trips have filter_date older than 30 days?,"SELECT COUNT(*) AS older_filter_date FROM trips_full WHERE DATE(filter_date) < DATE('now','-30 day');",There were {older_filter_date} records whose filter_date is older than the 30-day analysis window.
150,Show trips where filter_date is different from DATE(trip_created_at).,"SELECT * FROM trips_full WHERE DATE(filter_date) <> DATE(trip_created_at) AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have a filter_date that differs from the trip_created_at date.
151,How many trips have TRACKING Status null or empty in the last 30 days?,"SELECT COUNT(*) AS missing_tracking_status FROM trips_full WHERE (""Tracking Status"" IS NULL OR ""Tracking Status"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_tracking_status} trips without a valid Tracking Status in the last 30 days.
152,Show trips with missing Tracking Status in the last 30 days.,"SELECT * FROM trips_full WHERE (""Tracking Status"" IS NULL OR ""Tracking Status"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing tracking status and may require data correction.
153,How many trips have TRACKED_LOCATION_SOURCES null or empty in the last 30 days?,"SELECT COUNT(*) AS missing_source FROM trips_full WHERE (TRACKED_LOCATION_SOURCES IS NULL OR TRACKED_LOCATION_SOURCES = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_source} trips without a tracking location source in the last 30 days.
154,Show trips with missing TRACKED_LOCATION_SOURCES in the last 30 days.,"SELECT * FROM trips_full WHERE (TRACKED_LOCATION_SOURCES IS NULL OR TRACKED_LOCATION_SOURCES = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing tracking source information.
155,How many trips have running_time = 0 but Distance Travelled > 0 in the last 30 days?,"SELECT COUNT(*) AS zero_running FROM trips_full WHERE running_time = 0 AND ""Distance Travelled"" > 0 AND DATE(trip_created_at) >= DATE('now','-30 day');","There were {zero_running} trips with zero running_time but non-zero distance, suggesting data anomalies."
156,Show trips with running_time = 0 and Distance Travelled > 0.,"SELECT * FROM trips_full WHERE running_time = 0 AND ""Distance Travelled"" > 0 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips show zero running_time but non-zero distance travelled and may need investigation.
157,How many trips have transit_time = 0 but are closed in the last 30 days?,"SELECT COUNT(*) AS zero_transit FROM trips_full WHERE transit_time = 0 AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {zero_transit} closed trips with zero transit_time in the last 30 days.
158,Show trips with transit_time = 0 and closed.,"SELECT * FROM trips_full WHERE transit_time = 0 AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",These closed trips show zero transit_time and may indicate incomplete data.
159,How many trips have Distance Travelled null or missing in the last 30 days?,"SELECT COUNT(*) AS missing_distance FROM trips_full WHERE ""Distance Travelled"" IS NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_distance} trips with missing Distance Travelled in the last 30 days.
160,Show trips where Distance Travelled is null.,"SELECT * FROM trips_full WHERE ""Distance Travelled"" IS NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing Distance Travelled and may require recalculation or data ingest fixes.
161,How many trips have EPOD_SUBMITTED_BUCKET null or empty in the last 30 days?,"SELECT COUNT(*) AS missing_epod_bucket FROM trips_full WHERE (EPOD_SUBMITTED_BUCKET IS NULL OR EPOD_SUBMITTED_BUCKET = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_epod_bucket} trips with missing ePOD submission bucket values in the last 30 days.
162,Show trips with missing EPOD_SUBMITTED_BUCKET in the last 30 days.,"SELECT * FROM trips_full WHERE (EPOD_SUBMITTED_BUCKET IS NULL OR EPOD_SUBMITTED_BUCKET = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing EPOD submission bucket classification.
163,How many trips have STATUS null or empty in the last 30 days?,"SELECT COUNT(*) AS missing_status FROM trips_full WHERE (STATUS IS NULL OR STATUS = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_status} trips with missing delivery STATUS in the last 30 days.
164,Show trips with missing STATUS in the last 30 days.,"SELECT * FROM trips_full WHERE (STATUS IS NULL OR STATUS = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing delivery status and may require reconciliation.
165,What is the average Distance Left To Destination at closure (should be 0) in the last 30 days?,"SELECT AVG(""Distance Left To Destination"") AS avg_remaining FROM trips_full WHERE trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');","At closure, the average remaining distance was {avg_remaining} km; ideally, this should be close to 0."
166,How many trips have TRIP_ID_LINK populated in the last 30 days?,"SELECT COUNT(*) AS linked_trips FROM trips_full WHERE TRIP_ID_LINK IS NOT NULL AND TRIP_ID_LINK <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {linked_trips} trips with a UI deep link populated in the last 30 days.
167,Show trips with TRIP_ID_LINK populated.,"SELECT * FROM trips_full WHERE TRIP_ID_LINK IS NOT NULL AND TRIP_ID_LINK <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have deep links to the FT UI for quick access.
168,How many trips have long stoppages but no STA breach in the last 30 days?,"SELECT COUNT(*) AS stoppage_no_breach FROM trips_full WHERE ""Total Long Stoppage Alerts"" > 0 AND sta_breached_alert = 0 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {stoppage_no_breach} trips with long stoppages but still on-time STA in the last 30 days.
169,Show trips with long stoppages but STA not breached.,"SELECT * FROM trips_full WHERE ""Total Long Stoppage Alerts"" > 0 AND sta_breached_alert = 0 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips had long stoppages but still met STA targets.
170,How many trips have no long stoppages but STA breached in the last 30 days?,"SELECT COUNT(*) AS no_stoppage_breach FROM trips_full WHERE ""Total Long Stoppage Alerts"" = 0 AND sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {no_stoppage_breach} trips without long stoppages that still breached STA in the last 30 days.
171,Show trips with no long stoppages but STA breached.,"SELECT * FROM trips_full WHERE ""Total Long Stoppage Alerts"" = 0 AND sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips breached STA despite having no long stoppages.
172,How many trips have transit_distance = 0 but are closed in the last 30 days?,"SELECT COUNT(*) AS zero_transit_dist FROM trips_full WHERE transit_distance = 0 AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {zero_transit_dist} closed trips with transit_distance = 0 in the last 30 days.
173,Show trips where transit_distance = 0 and closed.,"SELECT * FROM trips_full WHERE transit_distance = 0 AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",These closed trips have zero transit_distance and may indicate missing static lane configuration.
174,What is the average running_time per transporter in the last 30 days?,"SELECT indent_transporter_name, AVG(running_time) AS avg_running FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_running DESC;",Here is the average running_time per transporter for the last 30 days.
175,What is the average transit_time per transporter in the last 30 days?,"SELECT indent_transporter_name, AVG(transit_time) AS avg_transit FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_transit DESC;",Here is the average transit_time per transporter for the last 30 days.
176,Which transporters have high transit_time but low Distance Travelled in the last 30 days?,"SELECT indent_transporter_name, AVG(transit_time) AS avg_transit, AVG(""Distance Travelled"") AS avg_distance FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name HAVING avg_transit > 12 AND avg_distance < 200 ORDER BY avg_transit DESC;","These transporters show high average transit_time but relatively low average distance, potentially indicating inefficiencies."
177,Which routes have high transit_time but low Distance Travelled?,"SELECT route_name, AVG(transit_time) AS avg_transit, AVG(""Distance Travelled"") AS avg_distance FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name HAVING avg_transit > 12 AND avg_distance < 200 ORDER BY avg_transit DESC;",These routes have high average transit times despite low average distances.
178,What is the distribution of TRACKED_LOCATION_SOURCES for tracked trips only in the last 30 days?,"SELECT TRACKED_LOCATION_SOURCES, COUNT(*) AS trips FROM trips_full WHERE ""Tracking Status"" = 'Tracked' AND DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY TRACKED_LOCATION_SOURCES;",Here is the tracking source distribution among tracked trips in the last 30 days.
179,How many trips have comments mentioning 'GRN' in the last 30 days?,"SELECT COUNT(*) AS grn_comments FROM trips_full WHERE comments LIKE '%GRN%' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {grn_comments} trips with comments referencing GRN in the last 30 days.
180,Show trips with comments containing 'GRN'.,"SELECT * FROM trips_full WHERE comments LIKE '%GRN%' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have comments mentioning GRN activity.
181,How many trips have Driver Numbers missing or invalid in the last 30 days?,"SELECT COUNT(*) AS invalid_driver_numbers FROM trips_full WHERE (""Driver Numbers"" IS NULL OR ""Driver Numbers"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {invalid_driver_numbers} trips with missing or invalid driver contact numbers in the last 30 days.
182,Show trips with missing Driver Numbers.,"SELECT * FROM trips_full WHERE (""Driver Numbers"" IS NULL OR ""Driver Numbers"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing driver contact numbers.
183,How many trips have CONSENT Status not equal to 'Done' (assuming 'Done' is valid) in the last 30 days?,"SELECT COUNT(*) AS non_done_consent FROM trips_full WHERE ""Consent Status"" <> 'Done' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {non_done_consent} trips where consent was not marked as Done in the last 30 days.
184,How many trips had epod_created_at before trip_created_at (anomaly) in the last 30 days?,"SELECT COUNT(*) AS epod_before_trip FROM trips_full WHERE epod_created_at < trip_created_at AND DATE(trip_created_at) >= DATE('now','-30 day');","There were {epod_before_trip} trips where ePOD was created before the trip itself, indicating data anomalies."
185,Show trips with epod_created_at before trip_created_at.,"SELECT * FROM trips_full WHERE epod_created_at < trip_created_at AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have ePOD timestamps earlier than trip creation and may need data correction.
186,How many trips have RECEIVED_AT before SUBMISSION_CREATED_AT in the last 30 days?,"SELECT COUNT(*) AS received_before_submitted FROM trips_full WHERE RECEIVED_AT < SUBMISSION_CREATED_AT AND DATE(trip_created_at) >= DATE('now','-30 day');","There were {received_before_submitted} trips where RECEIVED_AT precedes SUBMISSION_CREATED_AT, which may be anomalous."
187,Show trips with RECEIVED_AT before SUBMISSION_CREATED_AT.,"SELECT * FROM trips_full WHERE RECEIVED_AT < SUBMISSION_CREATED_AT AND DATE(trip_created_at) >= DATE('now','-30 day');","These trips show RECEIVED_AT timestamps before submission, likely due to data ordering or ingest issues."
188,How many trips have no EPOD_FTEID but STATUS indicates successful delivery in the last 30 days?,"SELECT COUNT(*) AS delivered_without_epod FROM trips_full WHERE (EPOD_FTEID IS NULL OR EPOD_FTEID = '') AND STATUS = 'VERIFIED_AS_SUCCESSFULLY_DELIVERED' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {delivered_without_epod} trips marked as successfully delivered but missing EPOD_FTEID in the last 30 days.
189,Show trips with successful delivery but missing EPOD_FTEID.,"SELECT * FROM trips_full WHERE (EPOD_FTEID IS NULL OR EPOD_FTEID = '') AND STATUS = 'VERIFIED_AS_SUCCESSFULLY_DELIVERED' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips are marked as successfully delivered but do not have an EPOD_FTEID linked.
190,How many trips have trip_closed_at null in the last 30 days?,"SELECT COUNT(*) AS open_trips FROM trips_full WHERE trip_closed_at IS NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {open_trips} trips still open (not closed) in the last 30 days.
191,Show open trips (trip_closed_at is null) in the last 30 days.,"SELECT * FROM trips_full WHERE trip_closed_at IS NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips are currently open or not closed in the last 30 days.
192,What is the average time from trip_created_at to trip_closed_at in the last 30 days?,"SELECT AVG((julianday(trip_closed_at) - julianday(trip_created_at)) * 24.0) AS avg_hours FROM trips_full WHERE trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');","On average, trips took {avg_hours} hours from creation to closure in the last 30 days."
193,Which transporters have the longest average trip_created_at to trip_closed_at duration in the last 30 days?,"SELECT indent_transporter_name, AVG((julianday(trip_closed_at) - julianday(trip_created_at)) * 24.0) AS avg_hours FROM trips_full WHERE trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_hours DESC;",These transporters have the longest average trip lifecycle from creation to closure in the last 30 days.
194,Which transporters have the shortest average trip_created_at to trip_closed_at duration in the last 30 days?,"SELECT indent_transporter_name, AVG((julianday(trip_closed_at) - julianday(trip_created_at)) * 24.0) AS avg_hours FROM trips_full WHERE trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_hours ASC;",These transporters close trips fastest on average in the last 30 days.
195,How many trips have both high transit_time (>24h) and STA breached in the last 30 days?,"SELECT COUNT(*) AS long_delayed FROM trips_full WHERE transit_time > 24 AND sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {long_delayed} trips with transit_time over 24 hours and STA breached in the last 30 days.
196,Show trips with transit_time >24h and STA breached.,"SELECT * FROM trips_full WHERE transit_time > 24 AND sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips had long transit times over 24 hours and breached STA in the last 30 days.
197,How many trips have high-speed distance (>60 km/h) more than 50 km and STA breached in the last 30 days?,"SELECT COUNT(*) AS risky_fast_trips FROM trips_full WHERE distance_travelled_morethan_60_speed > 50 AND sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {risky_fast_trips} trips with significant high-speed distance and STA breach in the last 30 days.
